City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Talas,TR,2022-06-14 03:55:01,38.6908,35.5538,54.27,94,20,0.0
192,Kelamangalam,IN,2022-06-14 03:55:02,12.6,77.85,84.0,62,82,12.01
193,Hokitika,NZ,2022-06-14 03:55:02,-42.7167,170.9667,51.94,72,91,26.75
194,Rodeo,US,2022-06-14 03:55:02,38.033,-122.2669,72.07,56,0,7.0
195,Sattahip,TH,2022-06-14 03:55:03,12.6664,100.9007,92.98,70,20,11.5
196,Vila,PT,2022-06-14 03:55:03,42.0304,-8.1588,58.69,89,98,3.36
197,Srednekolymsk,RU,2022-06-14 03:54:17,67.45,153.6833,74.41,20,0,14.76
198,Balykshi,KZ,2022-06-14 03:55:04,47.0667,51.8667,69.8,46,0,13.42
199,Helong,CN,2022-06-14 03:55:04,42.5397,128.9972,69.08,56,54,8.84
200,Brandon,US,2022-06-14 03:52:21,27.9378,-82.2859,82.63,87,0,4.0
201,Pevek,RU,2022-06-14 03:47:37,69.7008,170.3133,39.72,67,27,7.16
202,Mackay,AU,2022-06-14 03:55:05,-21.15,149.2,75.69,73,3,11.41
203,Grand-Santi,GF,2022-06-14 03:55:05,4.25,-54.3833,72.07,99,100,2.75
204,Green River,US,2022-06-14 03:51:37,41.5286,-109.4662,50.99,65,81,1.01
205,Manthani,IN,2022-06-14 03:55:06,18.65,79.6667,93.6,46,26,7.94
206,Marzuq,YE,2022-06-14 03:55:06,14.4,46.4667,85.23,25,99,1.3
207,Adamas,GR,2022-06-14 03:55:07,36.7333,24.4333,73.35,76,0,19.15
208,Kasangulu,CD,2022-06-14 03:55:07,-4.5911,15.1708,70.68,77,100,3.38
209,Bakchar,RU,2022-06-14 03:55:08,57.0186,82.0711,75.09,57,61,4.81
210,Ambovombe,MG,2022-06-14 03:55:08,-25.1667,46.0833,60.53,73,0,5.21
211,Cairns,AU,2022-06-14 03:47:42,-16.9167,145.7667,83.07,58,100,12.66
212,Nizhniy Baskunchak,RU,2022-06-14 03:55:09,48.2198,46.8311,73.11,39,26,11.1
213,Arkadelphia,US,2022-06-14 03:55:09,34.1209,-93.0538,82.99,92,0,0.0
214,Tsumeb,NA,2022-06-14 03:55:09,-19.2333,17.7167,54.03,45,0,5.1
215,Paamiut,GL,2022-06-14 03:45:11,61.994,-49.6678,36.81,78,8,27.42
216,Quatre Cocos,MU,2022-06-14 03:55:10,-20.2078,57.7625,74.08,64,91,17.18
217,Nurota,UZ,2022-06-14 03:55:10,40.5614,65.6886,86.92,14,7,1.66
218,Trairi,BR,2022-06-14 03:54:55,-3.2778,-39.2689,76.39,82,0,8.55
219,Meulaboh,ID,2022-06-14 03:51:20,4.1363,96.1285,84.54,64,64,4.47
220,Bourg-En-Bresse,FR,2022-06-14 03:55:11,46.1667,5.1667,57.02,86,6,1.57
221,Serebryansk,KZ,2022-06-14 03:55:12,49.6925,83.2892,72.82,69,100,3.76
222,Evensk,RU,2022-06-14 03:55:12,61.95,159.2333,49.93,69,0,10.78
223,Haines Junction,CA,2022-06-14 03:51:41,60.7522,-137.5108,55.35,58,100,5.75
224,Krasnoshchekovo,RU,2022-06-14 03:55:13,51.6708,82.7289,78.71,53,92,6.46
225,Airai,TL,2022-06-14 03:48:58,-8.9266,125.4092,68.05,77,92,3.31
226,Barcelos,PT,2022-06-14 03:55:13,41.5388,-8.6151,70.84,86,93,1.97
227,Yulara,AU,2022-06-14 03:51:17,-25.2406,130.9889,71.74,22,0,6.31
228,Roald,NO,2022-06-14 03:47:36,62.5833,6.1333,54.16,93,100,4.61
229,Trussville,US,2022-06-14 03:55:14,33.6198,-86.6089,82.29,93,63,3.49
230,Methven,NZ,2022-06-14 03:55:14,-43.6333,171.65,46.02,87,2,5.01
231,Verkhoyansk,RU,2022-06-14 03:51:44,67.5447,133.385,68.38,33,48,5.57
232,Alofi,NU,2022-06-14 03:53:02,-19.0595,-169.9187,80.49,74,40,11.5
233,Touros,BR,2022-06-14 03:51:58,-5.1989,-35.4608,74.84,77,2,8.77
234,Aklavik,CA,2022-06-14 03:52:55,68.2191,-135.0107,55.02,52,100,10.29
235,Taoudenni,ML,2022-06-14 03:51:35,22.6783,-3.9836,91.78,11,0,6.06
236,Ormara,PK,2022-06-14 03:55:15,25.2088,64.6357,83.17,80,1,8.01
237,Torbat-E Jam,IR,2022-06-14 03:55:16,35.244,60.6225,88.52,15,2,5.5
238,Ust-Kuyga,RU,2022-06-14 03:55:16,70.0167,135.6,73.98,30,95,5.01
239,Kushchevskaya,RU,2022-06-14 03:55:17,46.5564,39.6386,73.38,48,99,3.76
240,Alta Floresta,BR,2022-06-14 03:55:17,-9.8756,-56.0861,66.99,74,20,4.16
241,Takoradi,GH,2022-06-14 03:55:17,4.8845,-1.7554,76.69,82,66,6.15
242,Leningradskiy,RU,2022-06-14 03:47:41,69.3833,178.4167,34.2,81,100,7.54
243,Khanpur,PK,2022-06-14 03:55:18,28.6453,70.6567,100.26,32,0,16.49
244,Oruro,BO,2022-06-14 03:55:18,-17.9833,-67.15,31.73,18,0,2.15
245,Carnarvon,AU,2022-06-14 03:47:40,-24.8667,113.6333,68.49,50,70,9.1
246,Lake Charles,US,2022-06-14 03:55:19,30.2131,-93.2044,82.98,87,0,6.91
247,Kyrylivka,UA,2022-06-14 03:55:19,46.3759,35.3675,72.14,70,5,8.03
248,Chokurdakh,RU,2022-06-14 03:55:20,70.6333,147.9167,73.18,18,5,17.6
249,Verkhnetulomskiy,RU,2022-06-14 03:55:20,68.6073,31.7962,50.13,62,31,3.29
250,Lazaro Cardenas,MX,2022-06-14 03:55:20,17.9583,-102.2,80.38,81,94,12.82
251,Vihari,PK,2022-06-14 03:55:21,30.0333,72.35,103.12,27,21,15.86
252,Vanimo,PG,2022-06-14 03:55:21,-2.6741,141.3028,86.54,63,92,9.24
253,Haapiti,PF,2022-06-14 03:55:22,-17.5667,-149.8667,80.33,68,6,18.84
254,Hambantota,LK,2022-06-14 03:55:22,6.1241,81.1185,86.34,70,20,9.22
255,Beya,RU,2022-06-14 03:55:23,53.0533,90.9139,67.95,77,97,1.52
256,Ornskoldsvik,SE,2022-06-14 03:55:23,63.2909,18.7153,53.8,69,41,8.63
257,Bilibino,RU,2022-06-14 03:55:23,68.0546,166.4372,68.2,24,20,4.56
258,Boyabat,TR,2022-06-14 03:55:24,41.4689,34.7667,65.44,79,14,4.7
259,Umiray,PH,2022-06-14 03:55:24,15.2206,121.4111,87.44,67,69,3.98
260,Tiksi,RU,2022-06-14 03:55:25,71.6872,128.8694,49.93,57,81,2.59
261,Redmond,US,2022-06-14 03:54:50,47.674,-122.1215,56.12,80,99,5.01
262,Mae Hong Son,TH,2022-06-14 03:55:25,19.3003,97.9685,82.54,69,75,1.14
263,Dunedin,NZ,2022-06-14 03:53:37,-45.8742,170.5036,42.8,69,49,11.01
264,Khandbari,NP,2022-06-14 03:55:26,27.3747,87.2039,83.5,60,65,2.77
265,Kalininsk,RU,2022-06-14 03:55:26,51.5,44.4758,61.34,71,100,5.53
266,Poum,NC,2022-06-14 03:55:27,-20.2333,164.0167,75.67,83,100,7.38
267,Shimoda,JP,2022-06-14 03:55:27,34.6667,138.95,64.76,85,100,18.14
268,Zhuhai,CN,2022-06-14 03:55:27,22.2769,113.5678,83.98,84,40,13.8
269,Palu,ID,2022-06-14 03:55:28,-0.8917,119.8707,85.55,73,88,3.04
270,Arak,IR,2022-06-14 03:55:28,34.0917,49.6892,65.16,34,0,4.61
271,Alekseyevka,RU,2022-06-14 03:55:29,50.6309,38.6903,66.36,84,8,3.89
272,Lavrentiya,RU,2022-06-14 03:47:37,65.5833,-171.0,39.47,65,87,4.23
273,Dinguiraye,GN,2022-06-14 03:55:29,11.3,-10.7167,71.73,86,71,1.43
274,Souillac,MU,2022-06-14 03:55:29,-20.5167,57.5167,71.98,68,40,14.97
275,Kirakira,SB,2022-06-14 03:55:30,-10.4544,161.9205,83.73,74,27,8.7
276,Lucapa,AO,2022-06-14 03:55:30,-8.4192,20.7447,60.19,53,7,4.03
277,Muzaffarnagar,IN,2022-06-14 03:55:31,29.4667,77.6833,104.79,22,3,15.14
278,Deputatskiy,RU,2022-06-14 03:53:09,69.3,139.9,63.75,35,100,7.34
279,Rio Bueno,CL,2022-06-14 03:55:31,-40.3167,-72.9667,48.34,98,100,3.04
280,Opunake,NZ,2022-06-14 03:54:04,-39.4556,173.8583,58.84,77,95,27.47
281,Carora,VE,2022-06-14 03:55:32,10.1755,-70.0827,73.24,80,56,8.39
282,Cervo,ES,2022-06-14 03:55:32,43.6702,-7.4101,63.16,96,100,8.41
283,Rantepao,ID,2022-06-14 03:55:32,-2.9701,119.8978,80.37,67,73,3.91
284,Lufilufi,WS,2022-06-14 03:55:33,-13.8745,-171.5986,91.18,79,17,15.41
285,Pirapozinho,BR,2022-06-14 03:55:33,-22.2753,-51.5,56.68,67,0,12.66
286,Embu,BR,2022-06-14 03:55:33,-23.6489,-46.8522,55.11,98,38,5.5
287,Ballina,AU,2022-06-14 03:55:34,-28.8667,153.5667,68.02,74,73,4.03
288,Seryshevo,RU,2022-06-14 03:55:34,51.0933,128.3786,73.33,62,94,15.35
