,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Bossangoa,CF,6.4926,17.4552,69.17,96,100,2.57,light rain
323,Ponta Delgada,PT,37.7333,-25.6667,64.51,77,20,3.44,few clouds
324,Coihaique,CL,-45.5752,-72.0662,41.61,81,0,3.44,clear sky
325,Constitucion,CL,-35.3333,-72.4167,50.81,88,17,7.16,few clouds
326,Sitka,US,57.0531,-135.33,64.29,52,0,10.36,clear sky
327,Porto Walter,BR,-8.2686,-72.7439,71.22,78,0,0.47,clear sky
328,Castelo Do Piaui,BR,-5.3222,-41.5525,75.2,65,65,6.96,broken clouds
329,Axim,GH,4.8699,-2.2405,73.89,97,100,4.72,heavy intensity rain
330,Chapleau,CA,47.8405,-83.4034,69.89,88,20,5.75,few clouds
331,Wum,CM,6.3833,10.0667,63.61,96,78,2.89,broken clouds
332,Mutoko,ZW,-17.397,32.2268,53.74,54,0,4.23,clear sky
333,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,10.36,broken clouds
334,Lata,PT,40.1629,-8.3327,61.86,96,9,3.13,clear sky
335,Broken Hill,AU,-31.95,141.4333,57.56,63,18,11.07,few clouds
336,Kununurra,AU,-15.7667,128.7333,78.78,19,100,6.91,overcast clouds
337,Lodwar,KE,3.1191,35.5973,81.66,45,16,11.14,few clouds
338,Beringovskiy,RU,63.05,179.3167,45.28,77,100,19.62,overcast clouds
339,Neiafu,TO,-18.65,-173.9833,83.08,69,40,14.97,scattered clouds
340,Filingue,NE,14.3521,3.3168,88.97,45,99,8.5,overcast clouds
341,Yanam,IN,16.7333,82.2167,85.98,68,100,1.72,overcast clouds
342,Requena,ES,39.4883,-1.1004,67.78,35,100,2.17,overcast clouds
343,Umm Kaddadah,SD,13.6017,26.6876,86.7,23,7,9.66,clear sky
344,Caravelas,BR,-17.7125,-39.2481,68.47,72,50,5.08,scattered clouds
345,Quepos,CR,9.4236,-84.1652,76.75,85,100,1.63,overcast clouds
346,Beloha,MG,-25.1667,45.05,65.14,76,48,6.55,scattered clouds
